"Título","CODIGO MOLDE","DEFECTOS A REPARAR","FECHA ENTRADA","FECHA ESPERADA","FECHA ENTREGA","ESTADO","OBSERVACIONES","Usuario","Recibido","Prioridad","H altura de pestaña","Created","Responsable","Tipo de reparacion","Tipo","ID","espesor_pestana","espesor_bowl","espesor_fondo","espesor_parte_plana","espesor_angulos","espesor_radios","Modified","Created By","Modified By"
"MOLDE LAVARROPAS 48X51W BRILLANTE","01151","Desmanchado, ","2/21/2026","2/22/2026","2/21/2026","Entregado","Reportado desde app nueva",,,"1","0.00","2/21/2026 7:08 AM","Lina Osorio","Rapida",,"40754","0","0","0","0","0","0","2/21/2026 7:46 AM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 48X38","0177-04","Desmanchado, ","2/21/2026","2/22/2026","2/23/2026","Entregado","Reportado desde app nueva",,,"1","38.00","2/21/2026 7:09 AM","Lina Osorio","Rapida",,"40755","0","0","0","0","0","0","2/23/2026 12:25 PM","Administrador Global","Mantenimiento"
"MOLDE LAVAMANOS OSLO 79X48","0190-09","Desmanchado, ","2/21/2026","2/22/2026","2/21/2026","Entregado","Reportado desde app nueva",,,"1","0.00","2/21/2026 7:09 AM","Lina Osorio","Rapida",,"40756","0","0","0","0","0","0","2/21/2026 8:30 AM","Administrador Global","Mantenimiento"
"MOLDE AMERICANA PLUS V.2","1287-04","Molde con poros, Molde Rayado, ","2/23/2026","2/23/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,554","50.00","2/23/2026 6:53 AM","Lina Osorio","Rapida","Molde","40757","0","0","0","0","0","0","2/23/2026 10:39 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS GENOVA 79X48","0171-02","Molde Rayado, Molde Fisurado, ","2/23/2026","2/24/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,555","85.00","2/23/2026 7:06 AM","Lina Osorio","Rapida","Molde","40758","0","0","0","0","0","0","2/23/2026 1:03 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-56","Molde Rayado, ","2/23/2026","2/24/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,556","30.00","2/23/2026 7:06 AM","Lina Osorio","Rapida","Molde","40759","0","0","0","0","0","0","2/23/2026 10:48 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-58","Molde Despicado, Molde Rayado, ","2/23/2026","2/24/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,557","30.00","2/23/2026 7:07 AM","Lina Osorio","Rapida","Molde","40760","0","0","0","0","0","0","2/23/2026 11:51 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS 48X51W BRILLANTE","01147","Molde Despicado, Molde Rayado, ","2/23/2026","2/24/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,558","45.00","2/23/2026 7:08 AM","Lina Osorio","Rapida","Molde","40761","0","0","0","0","0","0","2/23/2026 3:34 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 48X38","0062-34","Molde Despicado, Molde pelado, ","2/23/2026","2/24/2026","2/23/2026","Entregado",,"Lina Osorio",,"19,559","40.00","2/23/2026 7:09 AM","Lina Osorio","Rapida","Molde","40762","0","0","0","0","0","0","2/23/2026 12:34 PM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS SIENA 124x48","0182-01","Molde Despicado, Molde Rayado, ","2/23/2026","2/24/2026","2/24/2026","Entregado",,"Lina Osorio",,"19,560","60.00","2/23/2026 7:11 AM","Lina Osorio","Rapida","Molde","40763","0","0","0","0","0","0","2/24/2026 12:44 PM","Mantenimiento","Mantenimiento"
